T,Zero,DF,Forward
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442
0.5,0.02492894983825516,0.9876128848982962,0.03610349718920734
0.75,0.027519505254011332,0.9795719103370961,0.01787383996792319
1,0.01800403487286329,0.9821570694713988,-0.0055106270650980005
1.25,0.020533700681641648,0.9746594745582051,0.026625645594986064
1.5,0.017416781319380858,0.9742131377899389,0.018704654455165004
1.75,0.022887471784793643,0.9607384460071532,0.059151972430018795
2,0.02175087983762737,0.9574308693220758,0.00164676166439226
2.25,0.021286089189878298,0.9532351099387643,0.03652481318325296
2.5,0.024079641475852454,0.9415770434564559,0.05059581807301955
2.75,0.02514944622981783,0.9331764479183203,0.017550529868917697
3,0.02343385083427205,0.9321126966047931,0.02202206067267176
3.25,0.022208548634006283,0.9303654778853279,-0.09759293004570069
3.5,0.024925595657799796,0.9164575000393567,0.34298633453132277
3.75,0.03220746773318288,0.8862306774227471,-0.028268630192090916
4,0.025121853966171795,0.9043964933890096,-0.0710319158195305
4.25,0.024046016214218292,0.9028529644314225,0.07997431069120542
4.5,0.028716936617472207,0.8787751511327773,0.09119135723281713
4.75,0.029150483892858837,0.8706939004687685,-0.0050352448056900645
5,0.02672796285512704,0.8749051361980145,-0.018092648141204704
5.25,0.026122028857616806,0.8718475908343006,0.061140050654218125
5.5,0.028944190087873002,0.8528317077678566,0.07286891406679818
5.75,0.028932146397897065,0.8467414863918327,0.002012691769082142
6,0.028304386304904377,0.8438113588584876,0.04667400350114037
6.25,0.030039856115903377,0.8288226321454943,0.0622683689376069
6.5,0.02919216239529567,0.8271666807726125,-0.04713301082828747
6.75,0.02867692705876535,0.8240127650338974,0.14639215574499542
7,0.03029124699598153,0.8089333678021721,-0.0442966696580227
7.25,0.03063781066305287,0.8008159550370745,0.10045492896224029
7.5,0.03311715121283698,0.780064528326756,0.0798093108034248
7.75,0.03314954357749869,0.7734386223045785,0.0012724980902323324
8,0.03198955884537081,0.7742066349809783,0.005519843442880479
8.25,0.0319348985578882,0.7683861189679762,0.05315959859419905
8.5,0.033123121801957145,0.7546157985730707,0.08945679938976436
8.75,0.03461479438559304,0.7386881392129699,0.06068642443984862
9,0.033448984023238836,0.740047536592109,-0.09825696103277215
9.25,0.029364167421329593,0.762144926862193,-0.027369903444207644
9.5,0.03560203471896345,0.7130388800500022,0.46237629453799167
9.75,0.03896456511443382,0.6839267143480923,-0.055223936169523924
10,0.03499175867719416,0.7047461677321268,-0.10182892218685291
10.25,0.033945053650186206,0.7061435031339949,0.06649987951606873
10.5,0.035496900355383554,0.6888598401272089,0.10976031758869187
10.75,0.0369175260569909,0.6724258692956933,0.08398355725997009
11,0.03773146945192291,0.6603097974789327,0.06219808380447667
11.25,0.03807510785994154,0.6515866024793007,0.04500280799596412
11.5,0.03808483020396196,0.6453415629785945,0.032943285526165766
11.75,0.03789702540689934,0.640638432845458,0.026565072087370023
12,0.037648082391668884,0.6364960997211292,0.026413723372142872
12.25,0.037474390081185756,0.6318765232710344,0.03303479506888696
12.5,0.037512337398365146,0.6256875102130159,0.046973842873776483
12.75,0.03781643821292139,0.6174485170125678,0.05581479356697727
13,0.03808806158437164,0.6094826474553148,0.04556565748076169
13.25,0.03812594082805573,0.6034037629863668,0.035965430228990236
13.5,0.03806108702336808,0.5982032649670548,0.034731113564556715
13.75,0.038047590272948136,0.5926481670570425,0.04001213746329668
14,0.038113422725240556,0.5864968872974777,0.04289920586320051
14.25,0.03819754020576201,0.5802391412424598,0.04231801868259666
14.5,0.03823703002409857,0.5743955920131232,0.038016925163475435
14.75,0.038197833257113435,0.569259981030022,0.035083948103364904
15,0.03817539365191921,0.5640395505924647,0.03996693117291894
15.25,0.03830147206176843,0.5576089052742443,0.053201229336385936
15.5,0.03870657490146596,0.5488380285463534,0.07450803158060015
15.75,0.03941602191537539,0.5375129935816234,0.0905796014571969
16,0.04027215381252967,0.5250013415814844,0.0960041612180218
16.25,0.04109898543789818,0.5128055690432813,0.09007777023950503
16.5,0.041720531636450314,0.5023848738814541,0.0720964879047381
16.75,0.04199782064828979,0.49486835768237486,0.04912981974358743
17,0.04195800576259476,0.4900312580545071,0.03014048809646397
17.25,0.04167482757850485,0.48729247293164385,0.015435587003009843
17.5,0.04122202904382796,0.4860783236625567,0.005310088257992618
17.75,0.04068102099580827,0.48573691798096025,0.0017650363848265016
18,0.04016762960982022,0.48528577586852506,0.007209102800831424
18.25,0.039807332333179755,0.48360645376290773,0.02214686278756428
18.5,0.039725607099765234,0.4795420316056553,0.0470802280766458
18.75,0.04003606426880067,0.47204724406855175,0.0781287284268295
19,0.04068222434217125,0.46164353152658344,0.0979324386007896
19.25,0.04148039755289764,0.4500045195187169,0.10399888921153178
19.5,0.04224382996710409,0.43878107330663996,0.09558106452423054
19.75,0.04281691517302973,0.42928507310539593,0.07972798556243887
