T,Zero,DF,Forward
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442
0.5,0.019892123091375034,0.9901032369471229,0.020805880015474162
0.75,0.020349001553454173,0.984854119149001,0.02171963693964503
1,0.017982984232508454,0.982177744724253,0.00291940036280941
1.25,0.02050326813941872,0.9746965519704412,0.03345295248664143
1.5,0.02070545009197991,0.9694191753412927,0.024349983876806314
1.75,0.02131287238944433,0.9633894586355362,0.025564828471207057
2,0.021754528627551423,0.9574238824193516,0.024933683329952938
2.25,0.02215192296540582,0.9513798955242613,0.025728472006179837
2.5,0.022606562534444277,0.9450509795439452,0.02716415142614559
2.75,0.0231375477461803,0.9383537617990727,0.028982944246316866
3,0.023446835673146534,0.9320763873124683,0.02577009232881955
3.25,0.024025956733863745,0.9248864004044811,0.031666837804686376
3.5,0.024343158782831584,0.9183276307979555,0.020678654133118868
3.75,0.024662780407542856,0.9116624969552624,0.02950515204741544
4,0.02498560518353161,0.90488951941019,0.030150801599362897
4.25,0.025753832507427174,0.8963235841701971,0.03898337417505837
4.5,0.026021231221090922,0.889500205813724,0.03054870099133966
4.75,0.02634650664621655,0.8823681498820807,0.032534460038396995
5,0.026672188403721042,0.8751491569917664,0.03318582355388289
5.25,0.027443853884547457,0.8658182781663306,0.04385870367551448
5.5,0.027612289278466987,0.8591020260235528,0.03089865823563409
5.75,0.02796286086543007,0.8514738839615561,0.03605150266691726
6,0.028314540943742028,0.8437599488270765,0.03675486282356255
6.25,0.029990181022621857,0.8290799961050208,0.0726228972806886
6.5,0.029160863377148787,0.8273349796738886,0.001482111198769509
6.75,0.027043613933732155,0.833147656306367,0.15692218076651665
7,0.03024965409305368,0.8091689233008322,0.018548250031308333
7.25,0.03073037200385566,0.8002787319749254,0.045557088213521446
7.5,0.031241638080052925,0.7911147235794699,0.04657962036552776
7.75,0.03162031052880394,0.7826596071265917,0.04329045890635874
8,0.031996766928071164,0.7741619919045378,0.04404337170499373
8.25,0.0322290415462086,0.7665237526041372,0.039732358943778134
8.5,0.032456414800681566,0.758904353644567,0.04018710545283799
8.75,0.032899297580259404,0.7498599270502997,0.048526258932812816
9,0.033345782190340394,0.7407352242703743,0.049419228153047
9.25,0.033669725158267896,0.7323879217014143,0.04550148327397974
9.5,0.03423459893342831,0.7223621378495617,0.07620621196413602
9.75,0.03457748818561697,0.713815673875507,0.04745373255843344
10,0.03490764829774663,0.7053391817661645,0.048114052783043704
10.25,0.034960977538567486,0.6988284284274447,0.03676163848331804
10.5,0.0350048960982107,0.6924277288548981,0.03684947560367302
10.75,0.03525621886360502,0.6845426329937415,0.04631431977070166
11,0.03551338400099234,0.6766188088108416,0.04682865004629333
11.25,0.035770549138379654,0.6687007169239744,0.04734298032021966
11.5,0.03602771427576697,0.6607903144637379,0.04785731059608889
11.75,0.03628487941315428,0.6528895325854364,0.04837164087057033
12,0.036542044550541594,0.6450002757890722,0.048885971144496665
12.25,0.03679920968792891,0.6371244212644575,0.04940030141897811
12.5,0.03705637482531623,0.629263818261647,0.04991463169512489
12.75,0.037520922327502,0.6197793448601484,0.06151077453386833
13,0.037822084003591376,0.6115937084301005,0.0325421447044949
13.25,0.037720546709377176,0.606653649972275,0.03233907011596093
13.5,0.037619009415162975,0.6017840450982236,0.032135995527982075
13.75,0.03766891114875022,0.5957420376804826,0.04524513262105234
14,0.037806660630066435,0.5890211139725952,0.045520631583584326
14.25,0.03794441011138265,0.5823359034258184,0.04579613054611631
14.5,0.038082159592698867,0.5756869163335075,0.046071629509758516
