T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442,0,0
0.5,0.019892123091375034,0.9901032369471229,0.020805880015474162,0.0018275138483157122,3.469446951953614E-12
1,0.017982984232508454,0.982177744724253,0.00291940036280941,-0.015063583869783306,3.469446951953614E-12
2,0.021754528627551423,0.9574238824193516,0.024933683329952938,0.0015895773514181671,3.469446951953614E-12
3,0.023446835673146534,0.9320763873124683,0.02577009232881955,0.0007744188852271128,-6.938893903907228E-12
5,0.026672188403721042,0.8751491569917664,0.03318582355388289,0.0013027270300176863,0
7,0.03024965409305368,0.8091689233008322,0.018548250031308333,-0.0016716291516370024,-3.469446951953614E-12
10,0.03490764829774663,0.7053391817661645,0.048114052783043704,0.0013206404485197054,0
15,0.03901538825931862,0.5569772833101975,0.06739806735767129,0.0018921786065773105,0
20,0.041688590687235384,0.43440768747875147,0.0463971564185206,0.00023542828657754922,-6.938893903907228E-12
30,0.04637680953674489,0.24875065094007243,0.07682084339655226,0.0010148011286501002,-1.3877787807814457E-11
