T,Zero,DF,Forward
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442
0.5,0.024937331532420504,0.9876087459723916,0.03918726774652069
0.75,0.028028198730867097,0.9791982552394203,0.01459879651803317
1,0.017986050743128486,0.982174732870386,0.000998813613033167
1.25,0.0205639747183111,0.9746225916602397,0.018731293714453062
1.5,0.01742379716306543,0.9742028854532503,0.026387348742579197
1.75,0.023115266599778094,0.9603555326707135,0.053833902610780915
2,0.021779713452015636,0.9573756585290388,0.001851862257359893
2.25,0.02128601123150823,0.9532352771422538,0.036544526097366525
2.5,0.02407956388994016,0.9415772260892583,0.05072931492659111
2.75,0.025183998348155465,0.9330877832673599,0.017092663215298454
3,0.02342704610384194,0.932131725125911,0.025593585626995652
3.25,0.022225062924704983,0.9303155451659575,-0.10465395804848399
3.5,0.02492660136211345,0.9164542741466204,0.3404461164464856
3.75,0.03185539649577791,0.887401511401587,-0.030968803464148653
4,0.025112489199785763,0.9044303718710576,-0.06397869137954315
4.25,0.024048504762277538,0.9028434156117006,0.07842445335720649
4.5,0.028717274794652397,0.878773813816133,0.09009166305709582
4.75,0.029081174529457448,0.8709805970490331,-0.005135680948564758
5,0.026726884839046276,0.8749098520197536,-0.017044984896713578
5.25,0.026121089608125838,0.8718518899775312,0.06173781987819926
5.5,0.028944701000674124,0.8528293112967218,0.07082994839840984
5.75,0.02884744222104476,0.8471539914472853,0.0018973975028646617
6,0.028302402642187623,0.8438214019410489,0.04889432321561471
6.25,0.030042016844003448,0.828811439343876,0.061488052202351984
6.5,0.029192767047975264,0.8271634298134259,-0.048051199994098015
6.75,0.0286934081046595,0.8239211011353258,0.14731594136771498
7,0.03028932296600486,0.8089442627598812,-0.042802781797801615
7.25,0.030702251903240007,0.8004419020160197,0.10065860137131732
7.5,0.03311872706999796,0.7800553088541908,0.0769259678146117
7.75,0.0330983590560006,0.773745490829743,0.0014585699989466683
8,0.03198796524305546,0.7742165052637839,0.007130795401377732
8.25,0.03193564217076583,0.7683814050824779,0.05229942584172864
8.5,0.03312219810415693,0.7546217234104317,0.09131537189954742
8.75,0.034691330166962464,0.7381936141733898,0.06200041284792901
9,0.03345389023447393,0.740014859847703,-0.10363274657088084
9.25,0.029367017126029602,0.7621248371631576,-0.023052223980246644
9.5,0.03560014591475609,0.7130516746777411,0.4666005910677895
9.75,0.03896002276680295,0.6839570046895184,-0.06082228866666206
10,0.034986842078041994,0.7047808181280381,-0.09588111591379844
10.25,0.03402821595041023,0.7055418332966047,0.0661987672193054
10.5,0.03550003188018345,0.6888371900920224,0.10495545428396147
10.75,0.03681589305306544,0.6731609328770909,0.07985700126361683
11,0.03755059380936185,0.6616248788571386,0.05923495056014971
11.25,0.037849854907693846,0.6532398791911374,0.04367615528300117
11.5,0.037855966608234946,0.6470422947931461,0.03349950356362763
11.75,0.03770399901757319,0.6420930882966392,0.02885630885435253
12,0.03751977427436694,0.6374768659636968,0.02979962679838799
12.25,0.03741957697810159,0.6323009458809297,0.036361408490559466
12.5,0.03751144984274111,0.6256944519073803,0.04862947547201735
12.75,0.037825561137802985,0.6173767012497595,0.05541613501774956
13,0.038084286505385236,0.6095125591760379,0.04497375527046099
13.25,0.03811670335003103,0.6034776220655821,0.03599075944604735
