T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442,0,0
0.5,0.01990197485517185,0.9900983598275225,0.02443394275315064,0.009063669939697594,0.06443000652445185
1,0.017949690910132897,0.9822104452288895,0.014689453095521193,-0.0032599697200978717,0.25307677834623954
2,0.021734211551439914,0.9574627873175602,0.024714993889750347,0.0014903875851113996,0.002997679469235459
3,0.0234449970701756,0.9320815284818917,0.026683956910952822,0.0010796785783386692,0.010841174170189705
5,0.026662804214983897,0.8751902207794465,0.041602692232162175,0.002987980863391679,0.009957014223543892
7,0.030279534454127226,0.8089996931825648,-0.007648796781639655,-0.00541755121934509,0.014181270720226014
10,0.03491848673530036,0.7052627381621277,0.03490858199950431,-9.833963331151718E-07,0.0006245717207309376
15,0.03901907258150879,0.5569465029042775,0.06964675839160606,0.0020418413981537764,-0.00013213359573160943
20,0.04227807410736052,0.42931623712182904,0.06031293693364859,0.000901746623059585,-0.001974371707791356
30,0.04605333782160775,0.251176315403284,0.08408062879938782,0.0012675770145291476,0.0026688404611285854
