T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442,0,0
0.5,0.024904514430942902,0.9876249513335629,0.02715278269694102,0.00449655013312969,-0.02695604678359942
1,0.017947475791805573,0.9822126209436577,0.013764366456042038,-0.004180101943966619,1.501818456185744
2,0.022157650512872586,0.9566522764713284,0.009039501441578113,-0.006559074282583288,0.025498042101335106
3,0.023472022336292024,0.9320059622911795,0.001748663540496187,-0.007240847373387108,0.09163001568265883
5,0.0266957301775695,0.8750461502366018,0.011386461709894657,-0.003061833327357155,0.024669920176134674
7,0.03022714537368635,0.8092964268388706,-0.0029094547376873336,-0.0047313227750853115,0.5142399626470451
10,0.03488296736502825,0.7055132875396332,0.03316126958002874,-0.00017215584901045244,0.020600147941640667
15,0.03831543610183393,0.5628559519753699,0.0415982488494171,0.00021885490582990164,0.0009549145918441582
20,0.0423875236000365,0.4283774960569964,0.04529880759940319,0.00014556424626083198,-0.0002846408803103273
30,0.047086127836952874,0.24351327144059814,0.0722819739584768,0.000839862546654635,-0.0032046637982174886
