T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442,0,0
0.5,0.024937331532886575,0.9876087459721614,0.03918726692473014,0.02849935655857734,0.04000735760387175
1,0.01798605074407472,0.9821747328694567,0.0009988024647286653,-0.01698662312367427,0.5837376551021123
2,0.02177971345239983,0.9573756585283032,0.0018518605503572982,-0.009963905784197633,0.05710125722604986
3,0.023427046101815552,0.9321317251315776,0.025593597528655865,0.0007224185245638393,0.18148766971204378
5,0.02672688483937164,0.8749098520183303,-0.017044968480817158,-0.008754322923016158,0.026931389836976072
7,0.03028932296579125,0.8089442627610908,-0.04280281130072949,-0.010440905523257521,0.0898657368658684
10,0.034986842077721333,0.704780818130298,-0.09588122976911251,-0.013086685483564703,0.08614872309270494
15,0.038166747603780866,0.5641127060327483,0.04007897103641689,0.0001274726698884121,0.0024814407126316773
20,0.04317056560646459,0.4217210037555629,0.064585640003334,0.0010707618462064972,-0.002784242468523157
30,0.04878608525154381,0.23140576347665764,0.04018504994096617,-0.00028669864145930424,-0.017722507170137014
