T,Zero,DF,Forward
0.25,0.03480628447036389,0.9913361779808613,0.11133202718776637
0.5,0.03677069027556523,0.9817826342915719,0.03898642048159873
0.75,0.034966338113749065,0.9741161289110873,0.12147645991630526
1,0.03398711978119819,0.9665839543701514,0.23214933261711534
1.25,0.034395818929424365,0.957916396449022,0.2189040006628229
1.5,0.03512379974907594,0.9486781355248165,0.047596692422692544
1.75,0.034406559866155616,0.9415653904993823,0.1306896279996972
2,0.0343912801566333,0.9335296444045882,0.1303055314880175
2.25,0.03460590231725304,0.9250908961274112,0.0494153461860769
2.5,0.034651410603235615,0.9170176801299615,0.05726676229174388
2.75,0.034169954515598816,0.9103124607750781,0.16056274342070298
3,0.034368712651810594,0.9020312286501815,0.12068867630707358
3.25,0.034235770002347815,0.89470050096142,0.23252754106924123
3.5,0.03491738298257033,0.8849617631047085,0.048147131996092996
3.75,0.034807819773372856,0.877630756795308,0.13317101036261492
4,0.03505134900820935,0.8691796910029234,0.0748379111029096
4.25,0.03527808791683703,0.8607666153182749,0.04029616974987604
4.5,0.03559395541225886,0.8519965517905811,0.014770605543251714
4.75,0.03573090457433723,0.8438995595603624,0.017003347652921885
5,0.035802883327870405,0.8360938456467113,0.022942468663883497
5.25,0.03576258589208926,0.828818922999231,0.13033621536179263
5.5,0.0363298508373522,0.8188829040855019,0.03728356091650675
5.75,0.03662897710063034,0.8100845789349856,0.012073418491354015
6,0.03682419642610599,0.8017606327605358,-0.004940263725050631
6.25,0.037063825244696605,0.7932245693992365,0.0021976589054117923
6.5,0.03732663678085466,0.7845671307589989,0.03791351282811384
6.75,0.03758844546747251,0.7759074689865233,0.029657875685873414
7,0.03756774361309949,0.7687617270399121,0.02853449325934676
7.25,0.03792585125606306,0.7596006672614553,0.04924593887206674
7.5,0.038130342950680005,0.7512794653560446,0.045164311676948454
7.75,0.038373100338217156,0.7427531470519626,0.04215084116299117
8,0.03847175577879266,0.7350813936575556,0.045509887474926014
8.25,0.038736545705142636,0.726456624816421,0.044303738528927994
8.5,0.03893233932965136,0.7182591195493634,0.052426996381416124
8.75,0.039376234374662984,0.7085447567018968,0.049298430677413574
9,0.03950873012563655,0.7007678818310638,0.043324675617351094
9.25,0.03966884498130144,0.6928534208585806,0.047205904121216946
9.5,0.03989465653228778,0.684546134935943,0.04899163348975888
9.75,0.04021183282043774,0.6756599446268815,0.05718161482454187
10,0.040260942962742276,0.6685731732097348,0.010969172640762359
10.25,0.03917602176496195,0.6692790283382537,0.0035072377210787486
10.5,0.03885795593220115,0.6649732017303585,0.04525508698366432
10.75,0.03931759505466139,0.6552986802920533,0.06879149639066329
11,0.040065783067555594,0.6435705560512789,0.07215984168390532
11.25,0.040613471483088234,0.6332426770859014,0.05358639588004532
11.5,0.040740809673951224,0.62592838758781,0.045120391013731
11.75,0.04089441634251225,0.6184682687488501,0.050672273199658946
12,0.04114895761277037,0.6103104655620059,0.05540867729109111
12.25,0.041480615365485383,0.6016150210080998,0.05918835919715981
12.5,0.04180337040033326,0.5930111188425246,0.053480758884227875
12.75,0.04196780903053762,0.5856168369422304,0.04916393109233308
13,0.04217711310583562,0.5779300315170722,0.058987603462901106
13.25,0.04270578823500888,0.5678762838468354,0.08381009870717104
13.5,0.043528267896347714,0.5556417001789078,0.08043213777009228
13.75,0.043998979584903744,0.5460820885040536,0.06098356336359245
14,0.04423296396785894,0.5383418586862373,0.05528060213200181
14.25,0.044414226639367935,0.531048072612537,0.053484539648818163
14.5,0.04461698169743028,0.5236424187288553,0.06207975711880476
14.75,0.04492928611080416,0.5154541253202671,0.05808311180577341
15,0.045086878455590305,0.5084933319101617,0.05554375081096019
15.25,0.04527838141128519,0.5013276916697497,0.05479620935555651
15.5,0.045435939205969084,0.49447580481911424,0.05930757834837763
15.75,0.04569010324725304,0.48693768247831615,0.059419695597751065
16,0.04587447024826437,0.4799892726516985,0.05834020641193316
16.25,0.04609290465796451,0.47283456871105006,0.06066255638814688
16.5,0.04631849577013332,0.46568065000193304,0.06182783951536042
16.75,0.04653431920206237,0.45865827430039324,0.05791839903845908
17,0.046682460739818465,0.45221306269171135,0.057715278064529585
17.25,0.046849462083499854,0.44568037986624176,0.05658806164932084
17.5,0.04700258895807378,0.43931204631330706,0.06206898047811382
17.75,0.047218679882560996,0.4325178992508523,0.05711768346572388
18,0.04730936594374875,0.42674501999316433,0.05541034569622738
18.25,0.047428830855615,0.4208090281267398,0.05242916349956772
18.5,0.047469627239647066,0.41553513647850204,0.05272567517866644
18.75,0.04756206666259521,0.4099218488868856,0.0527850779119543
19,0.04757830612865961,0.40495156304627966,0.045113445553135456
19.25,0.04755300059613869,0.4003583485807216,0.04950431619521467
19.5,0.047634411917438634,0.3949994002683852,0.05625100594985888
19.75,0.04772923298769823,0.3895931258439819,0.052514947829207514
20,0.047774373799995155,0.3846246035826126,0.05235938692504938
20.25,0.047830609121394405,0.37962557737513386,0.049874520560155844
20.5,0.04785873817013038,0.3748969343624832,0.05441660058946862
20.75,0.047941716300864454,0.3698008678425459,0.04928406136250896
21,0.047931159748148607,0.3654761135577292,0.051437172965407285
21.25,0.048016342685033256,0.36046973376275504,0.05367819917223571
21.5,0.048071882045782444,0.35574344644377354,0.05618250256911317
21.75,0.04817439486118882,0.350710883654204,0.05293419733987115
22,0.04819542659183794,0.3463521021753107,0.05136779126058144
22.25,0.04824863721136812,0.34179908751406385,0.0516798350913561
22.5,0.048281283218599265,0.3374530557498721,0.053384912137577345
22.75,0.04834786646885976,0.3328997244370118,0.052397427775519034
23,0.048359357569099606,0.32881328106273866,0.04761066448977225
23.25,0.048353825027652265,0.3249037053152914,0.048943032495696315
23.5,0.04835895389693362,0.32096107766693505,0.04700640878430029
23.75,0.048325163255922746,0.3173586910348441,0.044505738867606226
24,0.04834057181805953,0.3134317256544497,0.05910713279821955
24.25,0.04826833714060016,0.3102095706179993,-0.002808655644725988
24.5,0.0477249142965105,0.3105965734806459,0.04973241446104559
24.75,0.04815996328641877,0.30362585024863464,0.0812694707397199
25,0.048226322383390814,0.29949484919593017,0.05017414380081853
25.25,0.04831269959460646,0.29526097144018004,0.05726531554506309
25.5,0.04834296047213496,0.2914911913389458,0.0451325039274586
25.75,0.048278188804139255,0.28847023737326577,0.04084636543222331
26,0.048215189258209896,0.2854766839309158,0.04218419396573303
26.25,0.04817529053816331,0.28235182574777995,0.047388496441369554
26.5,0.04820074110697218,0.27878354034605585,0.05320488581261884
26.75,0.048180929525836934,0.27559031972731285,0.03173767952668882
27,0.047982943166735396,0.2737501457307338,0.035599869540048346
27.25,0.047986056282723656,0.270462983794116,0.053623887498188694
27.5,0.04801213210083953,0.2670461917401385,0.046842501606469966
27.75,0.04792538798979379,0.2644959031825008,0.027088349927595345
28,0.04774438758550604,0.26267366036436474,0.040741918546638445
28.25,0.047761831943512925,0.25942912050245254,0.04506939603632354
28.5,0.047683334418794125,0.2569239811750194,0.042257506329690386
28.75,0.047671117188150376,0.25396860571260627,0.043747688323048095
29,0.0475976135775296,0.2514953462100949,0.03770442189243717
29.25,0.04752390612489188,0.24905681044251143,0.04016610280488386
29.5,0.04748504937454771,0.24639755837871608,0.047160006448887515
29.75,0.04747969589500189,0.2435285845801533,0.04159354113575375
30,0.047386077235124606,0.24133185111942287,0.04738607723431265
