T,Zero,DF,Forward
0.25,0.035700804528135496,0.9911145102437651,0.10076213305618316
0.5,0.03673124945483036,0.9818019956389179,0.03935326348875057
0.75,0.03541096760162296,0.9737913425010571,0.11183718647132801
1,0.0346718127373059,0.9659223676628329,0.2160758251418607
1.25,0.034810812467124766,0.957419613918395,0.1924834155837829
1.5,0.03512982211902347,0.948669565627485,0.0463746561885775
1.75,0.03471278585342298,0.9410609450417301,0.11497161673847123
2,0.03451939883702791,0.933290469876321,0.12622182934844683
2.25,0.034597845174855646,0.9251076668548569,0.050063202704439536
2.5,0.03465479230568098,0.9170099274604048,0.057714871794720124
2.75,0.0343266411907827,0.9099203022290638,0.16141686440596104
3,0.03450127478733859,0.9016725744129174,0.11871188008633071
3.25,0.03448090891051882,0.8939879756462613,0.22389459450794513
3.5,0.03491564146358783,0.8849671572431304,0.04866445430018462
3.75,0.03493992490551243,0.8771960912429934,0.1311777186549512
4,0.03509659524065599,0.8690223968119437,0.0745530748744172
4.25,0.0352831029511518,0.8607482692238094,0.04004105811875047
4.5,0.035564178303343186,0.8521107244133371,0.02089034869368067
4.75,0.03571069040545492,0.8439805924096071,0.018289314437508475
5,0.03578739795291648,0.8361585842864168,0.02359937747400953
5.25,0.035820176274122366,0.828568367887085,0.12823067655987064
5.5,0.03632359521229282,0.8189110790044766,0.03880757772176113
5.75,0.03660526197441529,0.8101950512006199,0.01578709779737064
6,0.03679306029235089,0.8019104291101449,-0.0048892113083121025
6.25,0.037037344750165485,0.7933558613815007,0.002762362958375064
6.5,0.037321178856386604,0.7845949649556347,0.03885563092526079
6.75,0.037578162865340686,0.775961324703113,0.031378931420467104
7,0.037618519962570485,0.7684885311956103,0.04048574869630617
7.25,0.037908911152224195,0.7596939639182888,0.044793177324531364
7.5,0.0381340356408247,0.751258658827084,0.04585785340932569
7.75,0.038373698889479314,0.7427497015972433,0.04227725508482161
8,0.038471766138614874,0.7350813327350577,0.04545764009045161
8.25,0.03873797464979971,0.7264480608198216,0.044770014528683344
8.5,0.03893140059652562,0.7182648507280699,0.05239793920280844
8.75,0.039371715676650945,0.7085727721288446,0.04794265303337264
9,0.03951363040011295,0.7007369769178733,0.04476885063747771
9.25,0.039667856702353635,0.6928597546626912,0.04680494393199952
9.5,0.039898887261192756,0.6845186222622016,0.05084293944329632
9.75,0.04019050990818051,0.6758004278472147,0.04902856458099958
10,0.040294969865189434,0.668345717168616,0.01795003321092281
10.25,0.03926147097426622,0.6686930939935979,0.04066382324863227
10.5,0.03945360435733536,0.66082723280537,0.05300133336938462
10.75,0.03985160479919854,0.651547646475235,0.05902693152898264
11,0.040290483891835226,0.6419818011513838,0.05808066409651591
11.25,0.040604998070727705,0.6333030443843203,0.04925443447739708
11.5,0.040750974571630794,0.6258552231370533,0.049402568523815305
11.75,0.04095633641118626,0.6180184591279524,0.05143311324340427
12,0.04119732405312035,0.6099563458002898,0.05364515129169245
12.25,0.04147601179307078,0.6016489492991207,0.05662653770388548
12.5,0.04180920896996518,0.592967841212917,0.056313700575461034
12.75,0.042025684699159585,0.58518486102611,0.05123329189615777
13,0.042245650952279286,0.5774153298118555,0.057693336747433044
13.25,0.04269751807837298,0.5679385148984776,0.07956464537384189
13.5,0.04352198766731521,0.5556888111973397,0.07766288470156812
13.75,0.044002446904520785,0.5460560543090097,0.062473110305494295
14,0.04423397112811686,0.5383342679883993,0.05567986923860069
14.25,0.04441605307760821,0.5310342513396709,0.054673510275771164
14.5,0.04461528271347718,0.5236553189587203,0.06129022245893179
14.75,0.044928459632337804,0.5154604090316589,0.057537922967809685
15,0.04508784584543727,0.5084859532943986,0.0561496348872037
15.25,0.045278737570484257,0.5013249687519901,0.055070345190699754
15.5,0.04543595372143247,0.4944756935671724,0.059385031159209234
15.75,0.04568914705251288,0.4869450158477362,0.05876786031644432
16,0.045875386255919484,0.4799822379216796,0.05900340453501851
16.25,0.046092657253406395,0.47283646966306864,0.06050758558473479
16.5,0.0463177105193514,0.46568668369658106,0.061356204090756705
16.75,0.046534625795375276,0.4586559188953145,0.05810095893010736
17,0.04668258184657183,0.4522121316697203,0.05775304104116419
17.25,0.04685012053714432,0.4456753177122264,0.05722013101783219
17.5,0.047001538871124335,0.43932011941479954,0.06146537051610057
17.75,0.047218350580019774,0.43252042737731033,0.05685241395214646
18,0.047309807976228496,0.426741624573803,0.05575815312297561
18.25,0.04742879077465768,0.42080933593917613,0.052357034013295056
18.5,0.04747024361750177,0.415530398162382,0.053307656505685586
18.75,0.04756061558078467,0.409933002103712,0.05139688076249982
19,0.04757991872072309,0.404939155824498,0.04679567115251082
19.25,0.04755228357336375,0.4003638746403996,0.048767275727668036
19.5,0.0476328116932617,0.3950117261687038,0.05497127089748588
19.75,0.04772952969159504,0.38959084287314844,0.05278890408133563
20,0.047774266036515335,0.38462543255322,0.052196121044789656
20.25,0.04783113559595683,0.37962153016671063,0.050575547979048174
20.5,0.04785818585257113,0.3749011791607891,0.05418612727903227
20.75,0.047939729992736366,0.3698161098298934,0.047570163742016724
21,0.047929638790775275,0.36548778708953866,0.04979810621197345
21.25,0.04801603413312056,0.3604720972725522,0.0532964191113372
21.5,0.04807166875080503,0.3557450778307572,0.056027116193124726
21.75,0.04817409348253108,0.350713182566603,0.05257947306769317
22,0.04819593569525781,0.3463482229581616,0.05196050836264732
22.25,0.048248587691857234,0.3417994641116222,0.05161792126395781
22.5,0.04828126636517727,0.33745318371276833,0.053428462327698156
22.75,0.0483473027727847,0.33290399359898404,0.05164981087268927
23,0.04835972837232469,0.3288104767991201,0.0481849472777629
23.25,0.04835361124973574,0.3249053202000694,0.048515992104869454
23.5,0.048359353940151714,0.3209580603210119,0.047181063430601355
23.75,0.04832781117009585,0.3173387336212124,0.04856011017073669
24,0.04833473703011562,0.31347562011145425,0.0482948283719864
24.25,0.048282318652020345,0.31010441137884803,0.02284235800065204
24.5,0.04773307981623964,0.3105344432256047,0.060322098689447046
24.75,0.04815122097364006,0.30369155356229166,0.06885809081702554
25,0.04823037030532635,0.29946454243520754,0.05690177139694441
25.25,0.048311212148504354,0.29527206106415294,0.05425280826587553
25.5,0.04834429814940033,0.2914812485194627,0.046677637118852644
25.75,0.04827878775291977,0.28846578835097947,0.041662194171232514
26,0.04821540967077262,0.2854750479467684,0.042489007263668555
26.25,0.04817587876447278,0.2823474660036629,0.048813317559126546
26.5,0.048197913356919975,0.27880443187832876,0.04818687033059099
26.75,0.048185609917696014,0.2755558178462561,0.039657255632707944
27,0.04798781811929945,0.27371411608964286,0.04677114117224157
27.25,0.04798430672872752,0.27047587851793303,0.04865432041811779
27.5,0.04801224144905846,0.2670453887131463,0.04672562390339863
27.75,0.04792725469009865,0.26448220240267933,0.030173483172024618
28,0.047747609091495904,0.2626499676993788,0.048162570986942654
28.25,0.04776225129182225,0.2594260471703,0.04622144728183564
28.5,0.04768438725288776,0.2569162720883632,0.044088960915456
28.75,0.04767044793972155,0.25397349234221506,0.042348146490622796
29,0.047598152974968846,0.2514914122184376,0.03897469738278758
29.25,0.047524091220752504,0.24905546203915993,0.04073610846200282
29.5,0.04748484448806926,0.24639904764729376,0.046587475268644596
29.75,0.04748110210083249,0.24351839686661658,0.044294112355736104
30,0.047386077235124606,0.24133185111942287,0.04738607723431265
