T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.1183698880847745,0.9708410978516228,-0.5297628065388873,-2.588492153401657,251.78460681811455
0.5,0.0593576532903875,0.9707572648533895,-0.17636054303797263,-0.47096299639410794,35.398524174078126
1,0.03486186122118833,0.9657388130240033,0.15712093629691865,0.12213694956527549,-7.099435914925678
2,0.03463349089246563,0.9330775321156946,0.07866761292905922,0.02199506481698199,-1.2785037915852282
3,0.034556890857331594,0.9015221445077186,0.07396539482409925,0.01312461824938202,-0.4794744193001299
5,0.03572746966273476,0.8364091695988004,0.013352389308940449,-0.0044767701937661886,-0.00962011119376438
7,0.03761174157952823,0.7685249958280991,0.0029703417298021506,-0.004948800642879531,0.026791178060758813
10,0.040236405658037204,0.6687372431747719,-0.04150861321550181,-0.008174336219638617,-0.07818368310402724
15,0.045107821932213736,0.5083336127263872,0.031397776152353174,-0.0009140198537031796,0.012781745835355185
20,0.047844330073810074,0.3840868417867681,0.026001309322842836,-0.0010921525846960267,0.0011342787681334343
30,0.04748204993684341,0.24063801234956905,0.04748204993743066,0,0
