T,Zero,DF,Forward
0.25,0.034809537679686246,0.9913353717251652,0.09982393004792298
0.5,0.03670969841961696,0.9818125751206078,0.03926681426798251
0.75,0.03506198620231624,0.9740462521581293,0.10036125418937114
1,0.03409197654014819,0.9664826068230237,0.18869927424024213
1.25,0.03437882575895874,0.9579367442109002,0.19193743680531034
1.5,0.0350990140340213,0.9487134066793965,0.04606551865370123
1.75,0.034555722140728974,0.9413196420133442,0.10312959494763324
2,0.03437284094077769,0.9335640721486465,0.11252912165256312
2.25,0.03457744416031577,0.9251501323831473,0.04772105613906619
2.5,0.03462530884311052,0.9170775215211905,0.053637970972852944
2.75,0.034210576139219157,0.9102107759368274,0.1302913594669608
3,0.03443718699558887,0.9018459496917677,0.0975957057654242
3.25,0.03433453887877466,0.8944133492211145,0.1881427096325078
3.5,0.03491412589476278,0.8849718515558023,0.04673987473904906
3.75,0.03487547290482322,0.8774081307779493,0.10763167881774893
4,0.035077668972414364,0.8690881887062626,0.06467028228346328
4.25,0.03528010863254394,0.8607592230503844,0.03947103625404069
4.5,0.035574601204850946,0.8520707587529062,0.02347626683343873
4.75,0.03571990149176736,0.8439436668215164,0.02254926285652492
5,0.03579296330870419,0.8361353170100625,0.026651866426863347
5.25,0.0357934792366154,0.828684507710113,0.10951899201999682
5.5,0.03631553021687305,0.8189474046376849,0.04350670361072395
5.75,0.03661435475245578,0.8101526924962817,0.020875729046382352
6,0.03680892126764783,0.8018341182522575,0.005546938957740055
6.25,0.03704861335156039,0.7932999882805215,0.01156558051454426
6.5,0.03731650887879449,0.784618781582992,0.04168143690391757
6.75,0.0375796306460622,0.7759536368889536,0.03323907723729036
7,0.03764010278568214,0.7683724369013555,0.04524040173869981
7.25,0.03790725623815803,0.7597030788776148,0.04440429295510251
7.5,0.038134316251965374,0.7512570777421288,0.04564385779032287
7.75,0.03836787094796882,0.7427832497939539,0.04126420835970368
8,0.03847827901379393,0.735043033789079,0.04697640822781679
8.25,0.038735656383566915,0.7264619547777635,0.044510305748923784
8.5,0.038942107234712184,0.7181994869864048,0.054187863176013984
8.75,0.03935916600753666,0.7086505844970832,0.04478556320269833
9,0.03951376344904221,0.7007361378276354,0.04493369596125785
9.25,0.03967078578053775,0.692840982593371,0.04788851822895568
9.5,0.03990144746118918,0.6845019736712096,0.05116838428131931
9.75,0.04018293013091934,0.6758503732557273,0.04626564659826471
10,0.04021946638274273,0.6688505320122732,-0.0019776895449075127
10.25,0.039289865516778,0.6684985031587564,0.052872144385984754
10.5,0.03962114061115372,0.6596657732349024,0.053534694574308705
10.75,0.03995241570552943,0.6508419355207097,0.05419724476318777
