T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.034809537679686246,0.9913353717251652,0.09982393004792298,0.26005756947390307,6.938893903907228E-12
0.5,0.03670969841961696,0.9818125751206078,0.03926681426798251,0.005114231696103783,-6.938893903907228E-12
1,0.03409197654014819,0.9664826068230237,0.18869927424024213,0.15460729769991438,-1.3877787807814457E-11
2,0.03437284094077769,0.9335640721486465,0.11252912165256312,0.039078140355676416,0
3,0.03443718699558887,0.9018459496917677,0.0975957057654242,0.021052839589780215,0
5,0.03579296330870419,0.8361353170100625,0.026651866426863347,-0.001828219376262541,0
7,0.03764010278568214,0.7683724369013555,0.04524040173869981,0.001085756993264575,0
10,0.04021946638274273,0.6688505320122732,-0.0019776895449075127,-0.004219715592664736,6.938893903907228E-12
15,0.04508867009374637,0.5084796665529545,0.05659848482553187,0.0007673209821042193,6.938893903907228E-12
20,0.047774540681473535,0.38462331985030557,0.05239618994845596,0.00023108246337277816,1.3877787807814457E-11
30,0.047386077235124606,0.24133185111942287,0.04738607723431265,0,0
