T,Zero,DF,Forward
0.25,0.11981541703093103,0.9704903165112473,-0.4519891924814091
0.5,0.05905400462733494,0.9709046606150485,-0.14831588732276343
0.75,0.04403399234949582,0.9675138932218076,-0.2979864453675485
1,0.034706267574771923,0.9658890875379842,0.15555000772448507
1.25,0.030956877412675887,0.9620430327141163,0.5166833342233612
1.5,0.03313222647289072,0.9515164159301797,0.5582052783715749
1.75,0.037109155265435,0.9371227316395784,-0.2909673218927378
2,0.03472142800593578,0.9329134422560699,0.06565881926212658
2.25,0.03321284664241592,0.9279950270937889,0.13398402764125406
2.5,0.03423699741364264,0.9179682330013361,0.6344245287324274
2.75,0.036277697714361117,0.9050512846968348,-0.15476308412691597
3,0.034530105293987305,0.9015945907539739,0.07430842858043019
3.25,0.032096460558508295,0.9009428104424265,0.46467319409430885
3.5,0.036716464691654974,0.8794068556661127,0.6592362293443566
3.75,0.03768305812121952,0.8682188472308784,-0.13881823750380717
4,0.0349890429785491,0.8693963385411287,0.057298730914145946
4.25,0.03342164113306265,0.8675848390080488,-0.18313197360106392
4.5,0.03845119576017419,0.8411120606975595,0.4721245772049132
4.75,0.036997269122881836,0.8388385451050275,0.266371240629365
5,0.03572628265037579,0.836414133753639,0.013774251684112171
5.25,0.033675226112392743,0.8379515996993534,0.17414127467904605
5.5,0.03894017961771667,0.8072103500213171,0.7115667030750672
5.75,0.03769709705056714,0.8051245379182205,0.1890055873529639
6,0.03676849197798558,0.8020286473482905,-0.018617624920197473
6.25,0.03580035431095245,0.7995132176548665,-0.20273376573329283
6.5,0.03856782240714945,0.7782629377463934,0.8681809772023708
6.75,0.03873137632991103,0.7699445419060201,0.08432509644384911
7,0.037595886800376996,0.7686102941199284,0.0010701242020294544
7.25,0.03669173197271973,0.7664275874655424,-0.011694081803459433
7.5,0.03632955992295942,0.7614949796181771,0.1273771246543265
7.75,0.03981627874014335,0.7344920109839709,0.061077566349265755
8,0.038446230434280325,0.735231514631134,0.0021701111815874974
8.25,0.037499447289948924,0.7339088503655918,-0.028229622399400522
8.5,0.03686108844896643,0.7310164969673475,0.1418937691116673
8.75,0.040689991185694295,0.7004464070265568,0.07872250677665171
9,0.03945777825834603,0.7010893044113429,-0.008227538114136124
9.25,0.03843638553640658,0.7007973181473862,-0.020800640055385067
9.5,0.038111133182757696,0.6962435405736837,0.14298850028182652
9.75,0.04149052833058816,0.6672885945053382,0.0872802806359263
10,0.04017351592318798,0.6691579425283306,-0.056438246487100496
10.25,0.038213274849728675,0.6759162729386137,-0.007619847886275455
10.5,0.03798413631646324,0.6711024766958179,0.057808704467254834
10.75,0.038804983453145626,0.6589197204743611,0.08183853508703098
11,0.03965550215399654,0.6464816119113107,0.06334827585191549
11.25,0.03956961664823383,0.6407229137923618,0.001620868254337271
11.5,0.03869226022862032,0.6408492733900515,0.026024140716562894
11.75,0.03917860824951367,0.6310635887641167,0.08695691332549771
12,0.040276357109478876,0.6167347283852683,0.08624692447445348
12.25,0.040658237542370884,0.6077063990823517,0.021557201700661555
12.5,0.040143443202967394,0.6054441003693538,0.0391471918087527
12.75,0.04078226731218516,0.5945360602657486,0.09559953271287558
13,0.041856446214610946,0.5803442594253105,0.08639843292579386
13.25,0.04206773370207563,0.5726975878097599,0.0097247912206333
13.5,0.042292594932679645,0.564988426796686,0.17288568364526302
13.75,0.045059579720485174,0.5381762225977301,0.09364794662514164
14,0.04432043073303004,0.5376830438462844,-0.0019746633705963745
14.25,0.04371463237205274,0.5363686838829479,-0.015177766498064571
14.5,0.04346205588742053,0.5324853942742966,0.15012199075625787
14.75,0.04576701212571968,0.5091241264232996,0.0853344881351914
15,0.04508185702225578,0.5085316338331313,0.015088010182906508
15.25,0.04500144470151092,0.5034494184765542,0.01841162849014477
15.5,0.04488215241817561,0.49873850309531265,0.12060288190507418
15.75,0.04643431957528646,0.48126340784516064,0.07568806755453572
16,0.04593544207392306,0.47952124782343986,0.015547975810159542
16.25,0.04568000083700342,0.4760178080402274,0.013450763169386981
16.5,0.045605712713209345,0.47118981600640525,0.12224421305218058
16.75,0.047071214805387764,0.4545520511269683,0.08297365029497072
17,0.04673639368245174,0.45179863662623043,0.020792579215056506
17.25,0.04646315620095509,0.44866021173638915,0.008191956529790545
17.5,0.04637376665532061,0.44417310497229423,0.13119672777228697
17.75,0.04786904389437834,0.42755363814743585,0.08037005937600039
18,0.04738687527742115,0.4261500541296829,0.0105581120646292
18.25,0.04701343788550156,0.42401127106186987,-0.0018146894814607961
18.5,0.04675070704307083,0.42109867922926725,0.11937407169204661
18.75,0.048094576819641785,0.40584932239611227,0.08144739709836646
19,0.047638949532112417,0.4044852365749865,0.008633412553749054
19.25,0.04727591339082944,0.40249953686366247,0.0009361940372931699
19.5,0.047023282084746924,0.3997347804542811,0.11261143915863858
19.75,0.048197405699884614,0.38600739079136515,0.08038152326861336
20,0.04783373852254784,0.3841682119143012,0.015639052404758935
20.25,0.04757298233519927,0.3816112371865267,0.010324276019657574
20.5,0.04737084683153936,0.3786653823536666,0.101627071113497
20.75,0.04829513570806129,0.3670988702650992,0.07392863584532172
21,0.04799026883872536,0.36502273282993125,0.020102592749315917
21.25,0.04772405506828168,0.3627156191022516,0.003942863441297462
21.5,0.047518281433535384,0.3600029508280429,0.1141270664128946
21.75,0.048584713755129516,0.3475949116657343,0.08005384394493831
22,0.048246187927425986,0.34596552957146137,0.01588999716140016
22.25,0.04797212864975127,0.3439084253392085,0.0010147348183942029
22.5,0.04772319932598118,0.3417171315679338,0.11153291726184733
22.75,0.04876860105175075,0.3297285054381579,0.08452512324730321
23,0.048424270240436475,0.32832273193245454,0.007193994653320601
23.25,0.04809701059448622,0.32684948769623245,0.004676317334473268
23.5,0.04786607864391216,0.32470024409052467,0.09608193189847292
23.75,0.0486326995666196,0.315049151850896,0.07375826202249414
24,0.04838236121454767,0.31311752829847384,0.025169646583611538
24.25,0.04810881259913294,0.31141193122475214,-0.020980315075247447
24.5,0.0475243243834545,0.31212674259485806,0.07840557557980965
24.75,0.048336767920899255,0.3023001122000165,0.09308162354892957
25,0.04825892916718616,0.29925080958139194,0.03443240105038825
25.25,0.04815891286290301,0.29640973268258164,0.016269643730026928
25.5,0.04795427690520971,0.2943946511081129,0.08570959909470766
25.75,0.04852869594515755,0.28661543181931814,0.06450112215783399
26,0.04824898169544094,0.28522597330865307,0.01829646963491527
26.25,0.04800294365021889,0.28363210916784,-0.0009042356829969123
26.5,0.04775251830108522,0.28211464870363123,0.1038608782444328
26.75,0.04853286733927048,0.27300799423181676,0.06618370316235911
27,0.04805961759891156,0.27318401174243995,-0.003905912038248971
27.25,0.047733391861268286,0.27233157531042373,-0.007266320690701988
27.5,0.04748200023690308,0.27096787528444466,0.1178523052269842
27.75,0.04838856433846595,0.26111805383131503,0.06677227135654107
28,0.04782996460257139,0.262045006648652,-0.009467036690136155
28.25,0.04748021348895352,0.2615012981975416,-0.02794935073491267
28.5,0.04704196273802476,0.26166350361571583,0.11998499989451794
28.75,0.0481388410470545,0.25057633355577796,0.09301731679789427
29,0.047672484968888595,0.2509498742197321,-0.01795307064011986
29.25,0.04723425370992025,0.25117586671062014,-0.03265259179041635
29.5,0.04685369994159496,0.25102966783810843,0.128002403103622
29.75,0.04798585156693275,0.2398889708558896,0.10337953111894116
30,0.047437981071925095,0.2409563620646721,-0.07305626514186869
