T,Zero,DF,Forward
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442
0.5,0.024937331532886575,0.9876087459721614,0.03918726692473014
0.75,0.028028198732629944,0.9791982552381256,0.014598797179066897
1,0.01798605074407472,0.9821747328694567,0.0009988024647286653
1.25,0.02056397472119365,0.9746225916567279,0.018731292780981013
1.5,0.01742379716298315,0.9742028854533705,0.026387352201843323
1.75,0.02311526659867859,0.9603555326725614,0.05383391309666391
2,0.02177971345239983,0.9573756585283032,0.0018518605503572982
2.25,0.02128601123081397,0.9532352771437428,0.03654452417900522
2.5,0.02407956388993846,0.9415772260892623,0.050729329684404134
2.75,0.025183998349277415,0.9330877832644809,0.01709265604298016
3,0.023427046101815552,0.9321317251315776,0.025593597528655865
3.25,0.022225062923873582,0.9303155451684713,-0.10465396092458612
3.5,0.02492660136351148,0.9164542741421361,0.3404461183541957
3.75,0.03185539649587186,0.8874015114012743,-0.030968806916040204
4,0.02511248920124684,0.9044303718657718,-0.06397871014827972
4.25,0.024048504762465898,0.9028434156109778,0.07842448982449401
4.5,0.028717274796413825,0.8787738138091674,0.09009162793643943
4.75,0.029081174530286715,0.8709805970456023,-0.005135669692568623
5,0.02672688483937164,0.8749098520183303,-0.017044968480817158
5.25,0.026121089606628872,0.8718518899843831,0.06173783049914783
5.5,0.02894470100123189,0.8528293112941056,0.07082997528579105
5.75,0.028847442220696132,0.8471539914489835,0.001897397066547013
6,0.028302402641942573,0.8438214019422896,0.04889430125054606
6.25,0.03004201684273601,0.8288114393504414,0.061488067921722234
6.5,0.02919276704964193,0.827163429804465,-0.048051195209869446
6.75,0.02869340810488322,0.8239211011340816,0.14731591271840982
7,0.03028932296579125,0.8089442627610908,-0.04280281130072949
7.25,0.03070225190482246,0.8004419020068364,0.10065863939687225
7.5,0.03311872707156032,0.7800553088450504,0.07692587859944866
7.75,0.03309835905642621,0.7737454908271908,0.0014584800858696845
8,0.031987965242002744,0.7742165052703042,0.007130787414433293
8.25,0.03193564217169332,0.7683814050765984,0.05229931091671469
8.5,0.0331221981052891,0.7546217234031696,0.09131539914858378
8.75,0.03469133016637899,0.7381936141771586,0.062000440339271545
9,0.03345389023478772,0.7400148598456131,-0.10363280552955212
9.25,0.02936701712729039,0.7621248371542695,-0.023052257352995653
9.5,0.03560014591483181,0.7130516746772282,0.4666006064354966
9.75,0.03896002276612206,0.683957004694059,-0.06082227343578994
10,0.034986842077721333,0.704780818130298,-0.09588122976911251
10.25,0.03402821594893093,0.7055418333073027,0.06619876912111744
10.5,0.03550003188039841,0.6888371900904676,0.10495550783390373
10.75,0.03681589305609218,0.673160932855188,0.07985693492224
11,0.037550593811332016,0.6616248788428,0.0592348551367583
11.25,0.03784985490882017,0.6532398791828601,0.04367615612815845
11.5,0.0378559666109616,0.6470422947728571,0.033499405158177176
11.75,0.03770399901850541,0.6420930882896061,0.028856323042170118
12,0.03751977427457165,0.6374768659621308,0.029799526978790958
12.25,0.03741957697863638,0.6323009458767873,0.03636142338503401
12.5,0.03751144984325195,0.6256944519033849,0.048629446028902734
12.75,0.03782556113755233,0.6173767012517326,0.055416148493914186
13,0.038084286505926455,0.6095125591717494,0.04497384448853836
13.25,0.038116703349094436,0.6034776220730712,0.035990818483266906
13.5,0.03805753068674865,0.5982319857208891,0.03523125745086286
13.75,0.03805313100498511,0.5926030178374818,0.04042739455922817
14,0.038123399567707585,0.5864149735995637,0.04297156751487119
14.25,0.03820526789977836,0.5801752490352251,0.04202081008208847
14.5,0.03823736186565318,0.5743928281990424,0.03751606687862896
14.75,0.038190696734482985,0.5693199066008348,0.03477799339457466
15,0.038166747603780866,0.5641127060327483,0.04007897103641689
15.25,0.038297292522160055,0.5576444472716298,0.053564442561993
15.5,0.038707951690786176,0.5488263163391129,0.07476881341339503
15.75,0.03941949629978241,0.5374835808398615,0.0905946799101276
16,0.04027467426415867,0.5249801701605937,0.09590066199494096
16.25,0.04109981820227341,0.5127986295893339,0.08998171219021245
16.5,0.041720522094838036,0.5023849529752281,0.07210888141206961
16.75,0.04199907917771831,0.49485792578527366,0.04925227075791572
17,0.04196094452406396,0.4900067772213726,0.03023378653543851
17.25,0.04167823606050384,0.4872638227724305,0.015386628827163129
17.5,0.04122228165598771,0.4860761748546413,0.004861078161666477
17.75,0.040672896860589176,0.4858069679467063,0.0011904932545325764
18,0.04015486506554053,0.4853972888106803,0.007146812160963023
18.25,0.03979761499692331,0.48369222480717866,0.02258177188629862
18.5,0.03972303213208959,0.4795648760465343,0.04760425188543582
18.75,0.04003895954289991,0.47202161902361545,0.07837957704648346
19,0.040686333537704636,0.4616074902463405,0.09790442656087972
19.25,0.04148331284856604,0.44997926622496354,0.10386639371584572
19.5,0.042244043541560514,0.4387792459180754,0.09525229922091594
19.75,0.0428104293851492,0.4293400656029414,0.07899235808461746
