T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.016209415631580463,0.9959558457984257,0.020501976464477878,0.017170231850013526,-0.004939335013914858
0.5,0.020164834408286602,0.9899682399723195,0.02703581178730742,0.013741943401880327,-0.022486972572205444
1,0.026693441547039173,0.9736596793826974,0.038080937116210384,0.011387489971592668,-0.012364610287030064
2,0.028060631702697993,0.9454244835465503,0.012702298763413167,-0.007679161125989306,-0.008787701951534777
3,0.01865109328320111,0.9455833126529954,-0.01577443398570466,-0.011475166364115566,0.004468375818661441
5,0.029288676051482217,0.8637746376478845,0.0380808780882369,0.0017584457049427127,0.006738262593730671
7,0.03331673502026728,0.7919815798986735,0.05645627537867459,0.0033056404495496183,-0.008145531707470788
10,0.035628701420854565,0.7002716034892588,0.03924700644669654,0.0003618306493417822,-0.0004965338903928362
15,0.039071615331294676,0.556507723325939,0.0452633088304788,0.00041277958200830467,-0.00016564381810635354
20,0.04100302947622403,0.44040496976990245,0.05623214539174359,0.0007614557531177013,0.00033667625631839115
30,0.045260131404864574,0.25722503821703385,0.04526013140382368,0,0
