Type;MaturityYears;Rate;DayCount;FixedFreq
DEPOSIT;0,0833;0,0205;ACT/360;0
DEPOSIT;0,25;0,0208;ACT/360;0
DEPOSIT;0,5;0,0220;ACT/360;0
DEPOSIT;0,75;0,0235;ACT/360;0
DEPOSIT;1,0;0,0255;ACT/360;0
SWAP;2;0,0215;30/360;1
SWAP;3;0,0237;30/360;1
SWAP;4;0,0254;30/360;1
SWAP;5;0,0272;30/360;1
SWAP;7;0,0299;30/360;1
SWAP;10;0,0342;30/360;1
SWAP;15;0,0382;30/360;1
SWAP;20;0,0395;30/360;1
SWAP;30;0,0427;30/360;1
OAT;0,43;0,0206;ACT/360;0
OAT;1,44;0,0306;ACT/360;0
OAT;2,46;0,0237;ACT/360;0
OAT;3,47;0,0147;ACT/360;0
OAT;3,47;0,0271;ACT/360;0
OAT;3,98;0,0266;ACT/360;0
OAT;4,99;0,0300;ACT/360;0
OAT;4,99;0,0299;ACT/360;0
OAT;6,51;0,0324;ACT/360;0
OAT;7,02;0,0342;ACT/360;0
OAT;8,54;0,0353;ACT/360;0
OAT;9,56;0,0370;ACT/360;0
OAT;9,56;0,0364;ACT/360;0
OAT;9,56;0,0361;ACT/360;0
OAT;11,59;0,0369;ACT/360;0
OAT;13,11;0,0387;ACT/360;0
OAT;22,75;0,0445;ACT/360;0
OAT;28,83;0,0472;ACT/360;0
OAT;29,85;0,0463;ACT/360;0
